,Ability,Character_Class,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,matchID,playersID,score
14441,0.0,Titan,20,0.0,4.5,304,0.0,3.0,1.0,0.5,3.0,4.66666666667,13.0,702553554,2305843009267188449,2.0
14442,0.0,Warlock,20,1.0,1.9,304,0.0,0.0,9.0,0.3333333333333333,5.0,2.8,5.0,702553554,2305843009278955266,2.0
14443,0.0,Titan,20,0.0,1.71428571429,298,2.0,0.0,8.0,0.25,7.0,2.28571428571,8.0,702553554,2305843009291365963,2.0
14444,0.0,Titan,20,1.0,1.0,302,0.0,0.0,2.0,0.0,7.0,1.14285714286,6.0,702553554,2305843009261112686,0.0
14445,0.0,Titan,20,2.0,1.58333333333,300,2.0,0.0,1.0,0.0,6.0,1.66666666667,9.0,702553554,2305843009261903867,0.0
14446,0.0,Warlock,20,0.0,0.318181818182,298,0.0,0.0,3.0,0.0,11.0,0.454545454545,2.0,702553554,2305843009264968962,0.0
14447,0.0,Warlock,20,0.0,0.5625,279,0.0,0.0,5.0,0.0,8.0,0.875,2.0,702553554,2305843009267145678,0.0
14448,0.0,Hunter,20,0.0,2.33333333333,295,0.0,0.0,2.0,1.0,3.0,2.66666666667,6.0,702437869,2305843009261260376,4.0
14449,0.0,Titan,20,1.0,4.1,0,1.0,2.0,7.0,0.6666666666666666,5.0,4.8,17.0,702437869,2305843009267188449,4.0
14450,0.0,Warlock,20,1.0,2.91666666667,304,1.0,1.0,11.0,0.5714285714285714,6.0,3.83333333333,12.0,702437869,2305843009278955266,4.0
14451,0.0,Titan,20,0.0,14.5,0,4.0,0.0,3.0,2.0,1.0,16.0,13.0,702437869,2305843009291365963,4.0
14452,0.0,Hunter,20,0.0,0.384615384615,299,0.0,0.0,2.0,0.0,13.0,0.461538461538,4.0,702437869,2305843009262151384,0.0
14453,0.0,Titan,20,0.0,0.416666666667,300,0.0,0.0,4.0,0.0,12.0,0.583333333333,3.0,702437869,2305843009265261589,0.0
14454,0.0,Hunter,20,0.0,0.333333333333,287,0.0,0.0,0.0,0.0,12.0,0.333333333333,4.0,702437869,2305843009266662155,0.0
14455,0.0,Warlock,20,0.0,0.363636363636,304,0.0,0.0,0.0,0.0,11.0,0.363636363636,4.0,702437869,2305843009267147233,0.0
14456,0.0,Hunter,20,0.0,2.5,295,0.0,0.0,8.0,1.3333333333333333,2.0,4.5,1.0,702299362,2305843009261260376,4.0
14457,1.0,Titan,20,0.0,7.16666666667,304,2.0,1.0,3.0,1.0,3.0,7.66666666667,20.0,702299362,2305843009267188449,4.0
14458,0.0,Warlock,20,0.0,5.5,304,1.0,2.0,3.0,1.0,3.0,6.0,15.0,702299362,2305843009278955266,4.0
14459,0.0,Titan,20,0.0,8.5,297,1.0,0.0,10.0,1.3333333333333333,2.0,11.0,12.0,702299362,2305843009291365963,4.0
14460,0.0,Hunter,20,0.0,0.208333333333,303,0.0,0.0,1.0,0.0,12.0,0.25,2.0,702299362,2305843009260878838,0.0
