,matchID,playersID,referenceID,uniqueWeaponKills,uniqueWeaponKillsPrecisionKills,uniqueWeaponPrecisionKills
44,986102363,2305843009268791523,1331482397,3.0,1.0,3.0
45,986102363,2305843009271485006,1331482397,2.0,0.0,0.0
46,986102363,2305843009271485006,566976653,2.0,0.5,1.0
47,986102363,2305843009271485006,1342668638,2.0,0.0,0.0
48,986102363,2305843009301451364,1281822857,4.0,0.5,2.0
49,986102363,2305843009301451364,3762467076,2.0,1.0,2.0
50,986102363,2305843009277818913,3762467076,4.0,0.0,0.0
51,986102363,2305843009269519848,1331482397,2.0,1.0,2.0
52,985946587,2305843009262995257,1195725817,10.0,0.3,3.0
53,985946587,2305843009262995257,3762467076,2.0,0.5,1.0
54,985946587,2305843009262995257,3445437901,6.0,0.0,0.0
55,985946587,2305843009301515358,1195725817,6.0,0.6666666666666666,4.0
56,985946587,2305843009301515358,3666954561,5.0,0.8,4.0
57,985946587,2305843009268436695,1331482397,3.0,0.6666666666666666,2.0
58,985946587,2305843009268436695,3762467076,9.0,0.3333333333333333,3.0
59,985946587,2305843009261032165,3628991659,7.0,0.42857142857142855,3.0
60,985946587,2305843009261032165,1911843791,3.0,0.0,0.0
61,985946587,2305843009268791523,1345867571,2.0,0.0,0.0
62,985946587,2305843009268791523,566976653,1.0,0.0,0.0
63,985946587,2305843009268791523,3889907763,2.0,1.0,2.0
64,985946587,2305843009268791523,3628991659,1.0,0.0,0.0
65,985946587,2305843009264785491,3089417788,4.0,0.25,1.0
66,985946587,2305843009264785491,1331482397,2.0,0.5,1.0
67,985946587,2305843009270352049,1911843791,2.0,0.0,0.0
68,985946587,2305843009264181662,1911843791,2.0,0.0,0.0
69,985946587,2305843009264181662,3628991659,1.0,1.0,1.0
70,985614279,2305843009264004457,1960218487,5.0,0.6,3.0
71,985614279,2305843009264004457,3336215727,4.0,0.25,1.0
72,985614279,2305843009265442943,1644162710,1.0,0.0,0.0
73,985614279,2305843009265442943,3854359821,8.0,0.375,3.0
74,985614279,2305843009265442943,566976653,2.0,0.5,1.0
75,985614279,2305843009294948945,2693941407,6.0,0.16666666666666666,1.0
76,985614279,2305843009294948945,3580904581,2.0,0.0,0.0
77,985614279,2305843009262995257,3762467076,4.0,0.75,3.0
78,985614279,2305843009262995257,1195725817,4.0,0.25,1.0
79,985614279,2305843009262995257,1048266744,6.0,0.0,0.0
80,985614279,2305843009268791523,3889907763,5.0,0.6,3.0
81,985614279,2305843009268791523,3628991659,5.0,0.8,4.0
82,985614279,2305843009268791523,3239754990,3.0,0.0,0.0
83,985614279,2305843009268436695,3762467076,4.0,0.0,0.0
84,985614279,2305843009292324071,582335600,2.0,0.5,1.0
85,985614279,2305843009292324071,1909527966,1.0,1.0,1.0
86,985614279,2305843009293797679,1331482397,1.0,1.0,1.0
87,985614279,2305843009293797679,3762467076,2.0,0.0,0.0
88,1241027238,2305843009266158739,325519402,10.0,0.5,5.0
89,1241027238,2305843009266158739,3691881271,2.0,0.0,0.0
90,1241027238,2305843009266158739,2414612777,1.0,0.0,0.0
91,1241027238,2305843009270579093,4124984448,1.0,0.0,0.0
92,1241027238,2305843009270579093,3691881271,4.0,0.0,0.0
93,1241027238,2305843009270579093,566976653,2.0,0.5,1.0
94,1241027238,2305843009264853514,3762467076,3.0,0.3333333333333333,1.0
95,1241027238,2305843009264853514,1911843791,2.0,0.5,1.0
96,1241027238,2305843009264853514,3437746471,1.0,1.0,1.0
