,matchID,mode,standing,team_id,teamscore
166,966695420,42,1.0,16.0,0.0
167,966695420,42,1.0,16.0,0.0
168,966551018,42,0.0,17.0,4.0
169,966551018,42,0.0,17.0,4.0
170,966551018,42,0.0,17.0,4.0
171,966551018,42,0.0,17.0,4.0
172,966551018,42,1.0,16.0,0.0
173,966551018,42,1.0,16.0,0.0
174,966551018,42,1.0,16.0,0.0
175,966551018,42,1.0,16.0,0.0
176,966445966,42,0.0,16.0,4.0
177,966445966,42,0.0,16.0,4.0
178,966445966,42,0.0,16.0,4.0
179,966445966,42,0.0,16.0,4.0
180,966445966,42,1.0,17.0,1.0
181,966445966,42,1.0,17.0,1.0
182,966445966,42,1.0,17.0,1.0
183,966445966,42,1.0,17.0,1.0
184,966332823,42,0.0,17.0,4.0
185,966332823,42,0.0,17.0,4.0
186,966332823,42,0.0,17.0,4.0
187,966332823,42,0.0,17.0,4.0
188,966332823,42,1.0,16.0,0.0
189,966332823,42,1.0,16.0,0.0
190,966332823,42,1.0,16.0,0.0
191,966332823,42,1.0,16.0,0.0
192,965881470,42,0.0,17.0,4.0
193,965881470,42,0.0,17.0,4.0
194,965881470,42,0.0,17.0,4.0
195,965881470,42,0.0,17.0,4.0
196,965881470,42,1.0,16.0,0.0
197,965881470,42,1.0,16.0,0.0
198,965881470,42,1.0,16.0,0.0
199,965881470,42,1.0,16.0,0.0
200,965781585,42,0.0,16.0,2.0
201,965781585,42,0.0,16.0,2.0
202,965781585,42,0.0,16.0,2.0
203,965781585,42,0.0,16.0,2.0
204,965781585,42,1.0,17.0,0.0
205,965781585,42,1.0,17.0,0.0
206,965781585,42,1.0,17.0,0.0
207,965781585,42,1.0,17.0,0.0
208,965015465,42,0.0,17.0,4.0
209,965015465,42,0.0,17.0,4.0
210,965015465,42,0.0,17.0,4.0
211,965015465,42,0.0,17.0,4.0
212,965015465,42,1.0,16.0,0.0
213,965015465,42,1.0,16.0,0.0
214,965015465,42,1.0,16.0,0.0
215,965015465,42,1.0,16.0,0.0
216,1352740414,0,NA,NA,125.0
217,1352740414,0,NA,NA,125.0
218,1352740414,0,NA,NA,125.0
219,1352740414,0,NA,NA,125.0
220,1352740414,0,NA,NA,52.0
221,1352740414,0,NA,NA,52.0
222,1352740414,0,NA,NA,52.0
223,1352740414,0,NA,NA,52.0
224,1352723163,0,NA,NA,122.0
225,1352723163,0,NA,NA,126.0
226,1352723163,0,NA,NA,122.0
227,1352723163,0,NA,NA,126.0
228,1352723163,0,NA,NA,126.0
229,1352723163,0,NA,NA,126.0
230,1352723163,0,NA,NA,122.0
231,1352723163,0,NA,NA,122.0
232,1326037618,0,NA,NA,106.0
233,1326037618,0,NA,NA,105.0
234,1326037618,0,NA,NA,106.0
235,1326037618,0,NA,NA,105.0
236,1326037618,0,NA,NA,105.0
237,1326037618,0,NA,NA,106.0
238,1326037618,0,NA,NA,105.0
239,1326037618,0,NA,NA,106.0
240,1283728904,0,NA,NA,111.0
241,1283728904,0,NA,NA,127.0
242,1283728904,0,NA,NA,127.0
243,1283728904,0,NA,NA,111.0
244,1283728904,0,NA,NA,127.0
245,1283728904,0,NA,NA,111.0
246,1283728904,0,NA,NA,127.0
247,1283728904,0,NA,NA,111.0
248,1283688906,0,NA,NA,126.0
249,1283688906,0,NA,NA,126.0
250,1283688906,0,NA,NA,126.0
251,1283688906,0,NA,NA,95.0
252,1283688906,0,NA,NA,95.0
253,1283688906,0,NA,NA,126.0
254,1283688906,0,NA,NA,95.0
255,1283688906,0,NA,NA,95.0
256,1283648835,0,NA,NA,119.0
257,1283648835,0,NA,NA,126.0
258,1283648835,0,NA,NA,126.0
259,1283648835,0,NA,NA,119.0
260,1283648835,0,NA,NA,126.0
261,1283648835,0,NA,NA,119.0
262,1283648835,0,NA,NA,126.0
263,1283648835,0,NA,NA,119.0
264,1283598918,0,NA,NA,87.0
