,playersID,Ability,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,score,Auto Rifle,Fusion Rifle,Grenade Launcher,Hand Cannon,Linear Fusion Rifle,Pulse Rifle,Rocket Launcher,Scout Rifle,Shotgun,Sidearm,Sniper Rifle,Submachine Gun,Sword,Trace Rifle
3543,2305843009270417953,0.0,25.0,0.0,1.7142857142899999,331.0,0.0,2.0,4.0,0.75,7.0,2.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3544,2305843009270420938,0.0,20.0,0.0,2.0714285714300003,298.0,2.0,0.0,3.0,0.5,7.0,2.2857142857099997,13.0,4.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.75,2.0,0.0,0.0,0.0,0.0
3545,2305843009270424660,0.0,20.0,0.0,0.4,305.0,0.0,1.0,2.0,0.4375,15.0,0.46666666666699996,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3546,2305843009270426249,0.0,20.0,0.0,1.14285714286,302.0,0.0,1.0,4.0,0.75,7.0,1.42857142857,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
3547,2305843009270431587,0.0,25.0,0.0,4.291666666665,324.0,0.0,1.5,5.0,1.1666666666666665,2.5,5.25,7.5,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
3548,2305843009270433694,0.0,25.0,0.0,1.3888888888900002,334.0,0.0,0.0,5.0,0.20000000000000004,9.0,1.6666666666699996,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
3549,2305843009270433695,0.0,25.0,1.0,0.416666666667,334.0,0.0,0.0,1.0,0.0,6.0,0.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3550,2305843009270440613,0.0,25.0,0.0,0.642857142857,325.0,1.0,0.0,1.0,0.125,7.0,0.714285714286,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3551,2305843009270440993,0.0,20.0,0.0,0.5,294.0,0.0,0.0,1.0,0.25,7.0,0.5714285714289999,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3552,2305843009270441725,0.0,25.0,1.0,9.0,323.0,0.0,0.0,4.0,3.0,1.0,11.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
3553,2305843009270443702,0.0,20.0,0.0,0.642857142857,264.0,0.0,0.0,2.0,1.4666666666666666,14.0,0.714285714286,8.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3554,2305843009270445459,0.0,20.0,0.0,0.611111111111,300.0,4.0,0.0,2.0,0.42105263157894735,18.0,0.666666666667,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
3555,2305843009270452851,0.0,25.0,1.0,1.5625,330.0,0.0,2.0,3.0,1.5555555555555556,8.0,1.75,11.0,14.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3556,2305843009270469098,0.0,20.0,0.0,0.722222222222,301.0,0.0,0.0,3.0,0.0,9.0,0.888888888889,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
3557,2305843009270469285,0.0,20.0,0.0,1.5,304.0,0.0,0.0,1.0,0.16666666666666666,5.0,1.6,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3558,2305843009270483585,0.0,20.0,0.0,2.83333333333,299.0,0.0,0.0,6.0,0.5714285714285714,6.0,3.33333333333,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0
3559,2305843009270486774,0.0,25.0,0.0,0.636363636364,326.0,0.0,0.0,6.0,0.0,11.0,0.909090909091,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3560,2305843009270492520,0.0,20.0,1.3333333333333333,1.4031986532000003,302.0,0.3333333333333333,1.0,3.666666666666666,2.286868686868687,10.0,1.58787878788,12.0,24.666666666666668,6.333333333333333,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3561,2305843009270498230,0.0,25.0,0.0,0.666666666667,334.0,1.0,0.0,0.0,0.0,9.0,0.666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
3562,2305843009270503558,0.0,20.0,0.0,0.428571428571,304.0,0.0,0.0,4.0,0.5333333333333333,14.0,0.5714285714289999,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3563,2305843009270505227,0.0,20.0,0.0,0.6,299.0,0.0,1.0,2.0,0.5454545454545454,10.0,0.6999999999999998,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
3566,2305843009270526499,0.0,25.0,1.0,1.625,335.0,1.0,0.0,5.0,2.692307692307692,12.0,1.8333333333300004,17.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0
3567,2305843009270528013,0.0,25.0,0.33333333333333287,4.809722222221679,334.75,0.25,0.0,4.666666666666672,2.258974358974363,2.8333333333333357,5.961111111110834,7.083333333333337,5.166666666666674,2.9090909090909096,2.5,2.75,0.0,0.0,0.0,1.0,2.875,0.0,1.0,0.0,3.5294117647058836,0.0,0.0
3568,2305843009270539495,0.0,25.0,0.0,0.716346153846,335.0,0.0,0.5,3.5,1.4206349206349207,10.5,0.8990384615385,6.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
3569,2305843009270539496,0.0,25.0,0.75,0.8630778943284999,332.0,1.0,0.75,3.25,1.316712454212454,11.25,1.01204351204275,7.75,15.75,3.5,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3570,2305843009270547457,0.0,25.0,0.33333333333333326,1.0704191641680008,208.33333333333346,0.5,1.1666666666666663,5.666666666666669,1.9285714285714297,12.0,1.3183275058266672,9.5,24.16666666666668,3.2916666666666665,0.0,0.0,0.0,0.0,0.0,1.5,4.0,0.0,1.0,0.0,4.833333333333333,3.0,0.0
3571,2305843009270557344,0.0,25.0,0.0,0.3125,315.0,0.0,0.0,1.0,0.3333333333333333,8.0,0.375,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3572,2305843009270558300,0.0,20.0,0.4000000000000001,2.8488888888879993,287.6,0.20000000000000004,0.20000000000000004,3.2000000000000006,2.420000000000001,3.0,3.693333333334001,4.599999999999999,7.8,2.375,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3573,2305843009270559424,0.0,20.0,0.0,1.5,277.0,3.0,2.0,3.0,1.5,9.0,1.6666666666699999,12.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3574,2305843009270576721,0.0,20.0,0.0,0.9515873015879993,294.7142857142859,0.0,0.0,2.4285714285714275,0.6785714285714286,6.285714285714281,1.1625850340134305,4.285714285714283,4.428571428571425,2.1666666666666665,0.0,0.0,2.75,0.0,1.0,1.0,1.9166666666666667,0.0,0.0,0.0,2.0,0.0,0.0
3575,2305843009270576722,0.0,20.0,0.5,1.253125,286.0,1.5,1.5,3.5,0.29946524064171126,13.0,1.4000000000000001,15.0,4.0,2.125,0.0,0.0,0.0,0.0,0.0,1.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
3576,2305843009270584383,0.0,20.0,0.0,1.0,291.0,0.0,1.0,2.0,0.125,7.0,1.14285714286,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
3577,2305843009270586482,0.0,20.0,1.0,0.916666666667,295.0,0.0,0.0,1.0,0.2857142857142857,6.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3578,2305843009270589229,0.0,20.0,0.0,0.916666666667,298.0,2.0,1.0,4.0,1.0,12.0,1.08333333333,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3579,2305843009270597797,0.0,20.0,3.0,7.5,304.0,0.0,2.0,4.0,1.3333333333333333,2.0,8.5,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0
3580,2305843009270605439,0.0,20.0,0.0,4.5,279.0,0.0,1.0,3.0,3.0,1.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
